Year;Month;Day;Value;
2000;5;5;22;0
2000;6;29;949;927
2000;7;1;962;13
2000;8;3;1550;588
2000;8;16;1792;242
2000;9;1;2008;216
2000;9;18;2474;466
2000;10;5;3085;611
2000;10;12;3429;344
2000;10;24;3993;564
2000;11;2;4431;438
2000;11;14;5083;652
2000;11;23;5573;490
2000;12;5;6202;629
2000;12;20;7079;877
2000;12;27;7557;478
2001;1;1;7950;393
2001;1;9;8518;568
2001;2;2;10286;1768
2001;2;12;10600;314
2001;3;1;11074;474
2001;3;11;11463;389
2001;3;26;12348;885
2001;4;4;12673;325
2001;5;1;13409;736
2001;11;6;19333;5924
2001;12;2;20758;1425
2002;3;1;25745;4987
2002;5;1;28756;3011
2002;7;1;30782;2026
2002;9;1;32433;1651
2002;11;1;34653;2220
2002;12;2;36099;1446
2003;1;1;38075;1976
2003;1;13;38173;98
2003;1;26;38850;677
2003;2;24;39844;994
2003;3;23;40787;943
2003;4;12;41830;1043
2003;4;21;42256;426
2003;5;1;42707;451
2003;9;21;46969;4262
2003;10;20;48238;1269
2003;11;1;48757;519
2003;11;12;49283;526
2003;11;24;49825;542
2003;12;2;50190;365
2003;12;9;50471;281
2003;12;15;50622;151
2003;12;28;50948;326
2004;1;8;51254;306
2004;1;26;51687;433
2004;2;6;51949;262
2004;2;23;52382;433
2004;3;2;53231;849
2004;3;7;53470;239
2004;3;14;53808;338
2004;3;28;54611;803
2004;4;3;54943;332
2004;5;2;56156;1213
2004;5;25;56885;729
2004;6;5;57217;332
2004;7;4;58081;864
2004;8;2;58840;759
2004;8;30;59537;697
2004;9;29;60395;858
2004;10;19;61234;839
2004;11;9;62124;890
2004;11;21;62692;568
2004;11;28;63069;377
2004;12;11;63711;642
2004;12;28;64629;918
2005;1;3;64940;311
2005;1;23;65958;1018
2005;1;27;66343;385
2005;2;5;66720;377
2005;2;26;67958;1238
2005;3;5;68394;436
2005;3;28;69600;1206
2005;4;5;70048;448
2005;5;1;71189;1141
2005;5;9;71456;267
2005;5;23;72014;558
2005;6;5;72433;419
2005;6;28;73135;702
2005;7;5;73313;178
2005;7;29;73936;623
2005;8;30;74813;877
2005;9;26;75644;831
2005;10;1;75831;187
2005;10;30;76893;1062
2005;11;27;78188;1295
2005;12;20;79434;1246
2005;12;30;80042;608
2006;2;12;82809;2767
2006;2;25;83574;765
2006;4;3;85721;2147
2006;5;1;87031;1310
2006;5;29;88228;1197
2006;7;4;89385;1157
2006;8;29;90890;1505
2006;9;27;91772;882
2006;11;1;93441;1669
2006;11;22;94394;953
2006;12;26;95950;1556
2007;2;5;98032;2082
2007;3;4;99603;1571
2007;5;7;102359;2756
2007;7;23;104977;2618
2007;10;8;107802;2825
2007;12;4;110760;2958
2008;1;5;112478;1718
2008;4;24;118095;5617
